year,subtotal_group,revised_name,gross_expenditure,net_expenditure,property_tax_levy,avg_cpi,inflation_factor,inflation_adjusted_gross,inflation_adjusted_net,inflation_adjusted_levy,inflation_adjusted_levy_2017,gross_expenditure_normalized,inflation_adjusted_gross_normalised,property_tax_levy_normalized,inflation_adjusted_levy_normalized
2017,Total Associated Agencies,Assessment Delivery Services (MPAC),,6622,6622,131.86666666666667,1.1582636271716151,,7670.021739130435,7670.021739130435,7670.021739130435,,,1,1
2018,Total Associated Agencies,Assessment Delivery Services (MPAC),,6772,6772,134.96666666666667,1.1316598935764162,,7663.60079929949,7663.60079929949,7670.021739130435,,,1.0226517668378134,0.9991628524599628
2019,Total Associated Agencies,Assessment Delivery Services (MPAC),6884,6884,6884,137.49166666666667,1.1108772432489022,7647.278942525443,7647.278942525443,7647.278942525443,7670.021739130435,1,1,1.039565086076714,0.9970348458741696
2020,Total Associated Agencies,Assessment Delivery Services (MPAC),7005,7005,7005,138.36666666666667,1.1038523028404985,7732.485381397692,7732.485381397692,7732.485381397692,7670.021739130435,1.0175769901220222,1.0111420597460397,1.0578375113258833,1.008143867695783
2021,Total Associated Agencies,Assessment Delivery Services (MPAC),7021,7021,7021,143.175,1.0667809578233884,7489.86910487801,7489.86910487801,7489.86910487801,7670.021739130435,1.0199012202208018,0.9794162291148948,1.0602536997885834,0.9765121090422295
2022,Total Associated Agencies,Assessment Delivery Services (MPAC),7051,7051,7051,152.73636363636365,1,7051,7051,7051,7670.021739130435,1.024259151656014,0.9220273057898255,1.064784053156146,0.9192933527199344
2017,Total Associated Agencies,Immigration Partnership Council,,523,50,131.86666666666667,1.1582636271716151,,605.7718770107547,57.91318135858076,57.91318135858076,,,1,1
2018,Total Associated Agencies,Immigration Partnership Council,,507,50,134.96666666666667,1.1316598935764162,,573.751566043243,56.58299467882081,57.91318135858076,,,1,0.9770313657693257
2019,Total Associated Agencies,Immigration Partnership Council,544,544,50,137.49166666666667,1.1108772432489022,604.3172203274028,604.3172203274028,55.54386216244511,57.91318135858076,1,1,1,0.959088429601794
2020,Total Associated Agencies,Immigration Partnership Council,558,558,50,138.36666666666667,1.1038523028404985,615.9495849849982,615.9495849849982,55.19261514202493,57.91318135858076,1.025735294117647,1.01924877244321,1,0.9530233678631654
2021,Total Associated Agencies,Immigration Partnership Council,663,663,50,143.175,1.0667809578233884,707.2757750369066,707.2757750369066,53.33904789116942,57.91318135858076,1.21875,1.170371704208137,1,0.9210174029451137
2022,Total Associated Agencies,Immigration Partnership Council,675,675,50,152.73636363636365,1,675,675,50,57.91318135858076,1.2408088235294117,1.1169630407591284,1,0.8633613078586592
2017,Total Associated Agencies,Region of Waterloo Arts Fund,,393,243,131.86666666666667,1.1582636271716151,,455.19760547844476,281.45806140270247,281.45806140270247,,,1,1
2018,Total Associated Agencies,Region of Waterloo Arts Fund,,393,393,134.96666666666667,1.1316598935764162,,444.74233817553153,444.74233817553153,281.45806140270247,,,1.617283950617284,1.5801371471084156
2019,Total Associated Agencies,Region of Waterloo Arts Fund,393,393,393,137.49166666666667,1.1108772432489022,436.5747565968186,436.5747565968186,436.5747565968186,281.45806140270247,1,1,1.617283950617284,1.5511183244177165
2020,Total Associated Agencies,Region of Waterloo Arts Fund,393,393,393,138.36666666666667,1.1038523028404985,433.8139550163159,433.8139550163159,433.8139550163159,281.45806140270247,1,0.9936762225969645,1.617283950617284,1.5413093974083294
2021,Total Associated Agencies,Region of Waterloo Arts Fund,393,393,393,143.175,1.0667809578233884,419.2449164245917,419.2449164245917,419.2449164245917,281.45806140270247,1,0.9603049880682148,1.617283950617284,1.4895466640223445
2022,Total Associated Agencies,Region of Waterloo Arts Fund,393,393,343,152.73636363636365,1,393,393,343,281.45806140270247,1,0.9001894728488382,1.4115226337448559,1.218654027142058
2017,Total Associated Agencies,Waterloo Region Crime Prevention Council,,729,694,131.86666666666667,1.1582636271716151,,844.3741842081074,803.8349572571009,803.8349572571009,,,1,1
2018,Total Associated Agencies,Waterloo Region Crime Prevention Council,,748,712,134.96666666666667,1.1316598935764162,,846.4816003951593,805.7418442264083,803.8349572571009,,,1.0259365994236311,1.0023722369276078
2019,Total Associated Agencies,Waterloo Region Crime Prevention Council,745,745,711,137.49166666666667,1.1108772432489022,827.6035462204321,827.6035462204321,789.8337199499695,803.8349572571009,1,1,1.0244956772334295,0.9825819502116363
2020,Total Associated Agencies,Waterloo Region Crime Prevention Council,743,743,709,138.36666666666667,1.1038523028404985,820.1622610104904,820.1622610104904,782.6312827139135,803.8349572571009,0.9973154362416108,0.9910086354222076,1.021613832853026,0.9736218556411879
2021,Total Associated Agencies,Waterloo Region Crime Prevention Council,747,747,723,143.175,1.0667809578233884,796.8853754940711,796.8853754940711,771.2826325063098,803.8349572571009,1.0026845637583892,0.9628829880361832,1.04178674351585,0.9595037209356156
2022,Total Associated Agencies,Waterloo Region Crime Prevention Council,263,263,248,152.73636363636365,1,263,263,248,803.8349572571009,0.3530201342281879,0.31778500853589864,0.3573487031700288,0.30852104373047184
2017,Total Associated Agencies,Waterloo Regional Heritage Foundation,,106,106,131.86666666666667,1.1582636271716151,,122.7759444801912,122.7759444801912,122.7759444801912,,,1,1
2018,Total Associated Agencies,Waterloo Regional Heritage Foundation,,106,106,134.96666666666667,1.1316598935764162,,119.9559487191001,119.9559487191001,122.7759444801912,,,1,0.9770313657693257
2019,Total Associated Agencies,Waterloo Regional Heritage Foundation,106,106,106,137.49166666666667,1.1108772432489022,117.75298778438363,117.75298778438363,117.75298778438363,122.7759444801912,1,1,1,0.9590884296017941
2020,Total Associated Agencies,Waterloo Regional Heritage Foundation,106,106,106,138.36666666666667,1.1038523028404985,117.00834410109285,117.00834410109285,117.00834410109285,122.7759444801912,1,0.9936762225969646,1,0.9530233678631655
2021,Total Associated Agencies,Waterloo Regional Heritage Foundation,106,106,106,143.175,1.0667809578233884,113.07878152927917,113.07878152927917,113.07878152927917,122.7759444801912,1,0.9603049880682148,1,0.9210174029451137
2022,Total Associated Agencies,Waterloo Regional Heritage Foundation,0,0,0,152.73636363636365,1,0,0,0,122.7759444801912,0,0,0,0
2017,Total Associated Agencies,Waterloo Regional Police Services,,170908,155802,131.86666666666667,1.1582636271716151,,197956.5199926464,180459.78964059197,180459.78964059197,,,1,1
2018,Total Associated Agencies,Waterloo Regional Police Services,,177653,161194,134.96666666666667,1.1316598935764162,,201042.77507353105,182416.78488515684,180459.78964059197,,,1.0346080281382781,1.0108444947678508
